Time (s),X Axis (m/s^2),Y Axis (m/s^2),Z Axis (m/s^2)
5.159297396,-0.037206535,-0.124417429,0.199180115
5.159903089,0.072964364,-0.366314402,-0.452265197
5.160508783,-0.480285148,-0.076517038,-0.857023498
5.161114476,0.259775887,-0.57947114,-0.356464416
5.16172017,0.647769051,-0.814183054,-0.006791564
5.162325863,0.554363289,-0.325599069,-0.076247131
5.162931557,0.171160164,0.428832083,0.388386658
5.16353725,-0.62638134,1.216793509,0.963191346
5.164142944,-0.343769035,0.4432022,0.302165955
5.164748637,-0.125822258,-0.557915964,-0.600756408
5.165354331,-0.094687004,0.100714407,-0.528905822
5.165960024,0.032249032,-0.857293405,-0.38520465
5.166565718,0.44658741,-0.852503366,-0.203183166
5.167171411,0.44898243,-0.074122019,0.077034119
5.167777105,-0.109057121,0.031258841,-0.03074176
5.168382798,-0.698231925,1.204818411,0.189600037
5.168988492,-0.250363273,0.622828665,0.579988221
5.169594185,-0.030021476,-0.510015573,-0.148097717
5.170199879,-0.295868644,0.155799856,-0.454660217
5.170805572,-0.228808097,-0.181897898,-0.43789508
5.171411266,0.250195809,-0.553125925,-0.382809631
5.172016959,0.573523446,-0.313623972,0.335696229
5.172622653,0.149604989,0.057604056,0.01955365
5.173228346,-0.291078605,0.893465872,0.0746391
5.17383404,-0.528185539,0.59648345,0.613518494
5.174439733,0.132839852,-0.050171823,-0.021161682
5.175045427,0.025063973,-0.335179148,0.069849061
5.175651121,0.029854012,-0.129207468,-0.320539123
5.176256814,0.118469735,-0.574681101,-0.483400451
5.176862508,0.240615731,-0.409424753,0.012368592
5.177468201,0.408267098,-0.081307077,0.1728349
5.178073895,-0.250363273,0.522237845,0.299770936
5.178679588,-0.509025383,1.063512259,0.42910199
5.179285282,-0.324608879,-0.186687937,0.340486268
5.179890975,0.281331063,-0.62737153,-0.459450256
5.180496669,-0.130612297,-0.148367624,-0.605546447
5.181102362,0.70524952,-0.790232859,-0.550460998
5.181708056,0.410662117,-0.68245698,-0.315749084
5.182313749,0.566338387,-0.189082956,-0.033136779
