Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0.351563,0.57889791,1.10660724
0.352051,0.58290039,1.10829456
0.352539,0.56670408,1.11065877
0.353027,0.58027131,1.10439999
0.353516,0.59394645,1.10613636
0.354004,0.57152079,1.10714679
0.354492,0.5668218,1.10271267
0.35498,0.58507821,1.10675439
0.355469,0.58346937,1.10751957
0.355957,0.56771451,1.1090205
0.356445,0.57559194,1.10893221
0.356934,0.58416588,1.10876544
0.357422,0.57629826,1.11158091
0.35791,0.56905848,1.1100015
0.358398,0.57016701,1.10691135
0.358887,0.58521555,1.10762748
0.359375,0.57938841,1.10601864
0.359863,0.56424177,1.10691135
0.360352,0.58270419,1.10011302
0.36084,0.58551966,1.10285001
0.361328,0.56560536,1.10154528
0.361816,0.57597453,1.10074086
0.362305,0.59935176,1.10129022
0.362793,0.57384576,1.09943613
0.363281,0.56787147,1.10231046
0.36377,0.59180787,1.10160414
0.364258,0.58254723,1.10122155
0.364746,0.56616453,1.10150604
0.365234,0.57036321,1.10425284
0.365723,0.586638,1.104606
0.366211,0.58336146,1.10832399
0.366699,0.5697648,1.11054105
0.367188,0.56940183,1.11028599
0.367676,0.58361652,1.10557719
0.368164,0.57521916,1.10876544
0.368652,0.5628978,1.11243438
0.369141,0.58004568,1.10810817
0.369629,0.59101326,1.10906955
0.370117,0.57279609,1.10856924
0.370605,0.57841722,1.1083338
0.371094,0.5900715,1.10653857
0.371582,0.57844665,1.10884392
0.37207,0.57160908,1.10526327
0.372559,0.58157604,1.10726451
0.373047,0.58950252,1.10690154
0.373535,0.57600396,1.10425284
0.374023,0.57057903,1.10748033
0.374512,0.58687344,1.10585187
0.375,0.58427379,1.10752938
0.375488,0.56841102,1.11016827
0.375977,0.57112839,1.10482182
0.376465,0.59274963,1.1090205
0.376953,0.58569624,1.10781387
0.377441,0.56539935,1.11004074
0.37793,0.58258647,1.10510631
0.378418,0.59070915,1.10556738
0.378906,0.56972556,1.10945214
0.379395,0.57560175,1.10297754
0.379883,0.59132718,1.10500821
0.380371,0.57673971,1.10259495
0.380859,0.57079485,1.10089782
0.381348,0.58010454,1.10531232
0.381836,0.58247856,1.10227122
0.382324,0.57590586,1.10027979
0.382813,0.56992176,1.10218293
0.383301,0.5779071,1.10474334
0.383789,0.58789368,1.10341899
0.384277,0.56737116,1.10853981
0.384766,0.56503638,1.10894202
0.385254,0.58836456,1.10301678
0.385742,0.57669066,1.10642085
0.38623,0.56307438,1.10500821
0.386719,0.5782995,1.10338956
0.387207,0.58583358,1.10812779
0.387695,0.56570346,1.10482182
0.388184,0.56431044,1.10886354
0.388672,0.58329279,1.10998188
0.38916,0.57883905,1.10810817
0.389648,0.57147174,1.10827494
0.390137,0.57171699,1.11023694
0.390625,0.58125231,1.10636199
0.391113,0.57583719,1.11066858
0.391602,0.56585061,1.11221856
0.39209,0.57703401,1.10778444
0.392578,0.5869323,1.11016827
0.393066,0.5726097,1.11104136
0.393555,0.56710629,1.10704869
0.394043,0.59344614,1.10839266
0.394531,0.582714,1.11201255
0.39502,0.56210319,1.10962872
0.395508,0.57911373,1.11159072
0.395996,0.5938974,1.10881449
0.396484,0.56835216,1.10827494
0.396973,0.56503638,1.10875563
