Time (s),X Accel (m/s^2),Y Accel (m/s^2)
18.712477,1.95683013,0.83841165
18.712964999999997,1.96409934,0.82997505
18.713453,1.97366409,0.85990536
18.713941,1.95950826,0.86420214
18.71443,1.96677747,0.89671248
18.714917999999997,1.97556723,0.92250297
18.715406,1.96830783,0.91053477
18.715895,1.99087083,0.8947701
18.716383,2.00655702,0.86621319
18.716870999999998,1.99928781,0.84675996
18.717359,2.00540925,0.86191641
18.717847999999996,2.00120076,0.86392746
18.718336,1.98666234,0.87973137
18.718823999999998,1.98857529,0.89917479
18.719313,1.97518464,0.89318088
18.719800999999997,1.94841315,0.89750709
18.720289,1.94764797,0.88281171
18.720777,1.94917833,0.85204755
18.721266,1.94764797,0.82936683
18.721753999999997,1.96716006,0.80965854
18.722242,1.96371675,0.8378721
18.72273,1.9656297,0.85177287
18.723219,1.97518464,0.87153021
18.723706999999997,1.98092349,0.88732431
18.724195,1.98972306,0.87775956
18.724684,1.99469673,0.87540516
18.725172,2.00273112,0.84949695
18.725659999999998,2.0184075,0.84828051
18.726148,2.02797225,0.83157408
18.726636999999997,2.01534678,0.83388924
18.727125,2.02758966,0.86096484
18.727612999999998,2.00311371,0.87969213
18.728102,1.97901054,0.88189938
18.728589999999997,1.99048824,0.87311943
18.729078,1.96754265,0.8557263
18.729566,1.96142121,0.83636136
18.730055,1.98283644,0.82086156
18.730542999999997,1.97366409,0.82530549
18.731031,1.99431414,0.82150902
18.73152,2.00579184,0.85002669
18.732008,1.9881927,0.88884486
18.732495999999998,1.99393155,0.90578673
18.732984,1.99852263,0.90521775
18.733472999999996,1.99469673,0.89271981
18.733961,1.99469673,0.87258969
18.734448999999998,2.00540925,0.86954859
